,CBLOF,FB,HBOS,IF,AVG_KNN,Loc KNN,LOF,MCD,OCSVM,PCA
wine_benchmark_0915.csv,0.4948662523642259,0.4948717948717949,0.5085162147560851,0.4948662523642259,0.49487456164014026,0.49490343347639487,0.49487317862924984,0.49486763911399245,0.4948662523642259,0.4948662523642259
wine_benchmark_0916.csv,0.508159245723062,0.5245534651107406,0.4948662523642259,0.5085162147560851,0.5111398197445801,0.5283655567490154,0.508892939658535,0.508159245723062,0.508159245723062,0.5214522390818982
wine_benchmark_0917.csv,0.508159245723062,0.4948759439050701,0.4948662523642259,0.4948662523642259,0.5106344415969787,0.5283655567490154,0.4948690251147718,0.508159245723062,0.508159245723062,0.508159245723062
wine_benchmark_0918.csv,0.5214522390818982,0.5509646832898251,0.5221647903981776,0.5214522390818982,0.5436675714236002,0.5367028888292639,0.5237118173403271,0.5214522390818982,0.5214522390818982,0.5214522390818982
wine_benchmark_0919.csv,0.5214522390818982,0.49487317862924984,0.4948662523642259,0.4948662523642259,0.5263943215538172,0.5307478427612655,0.5085162147560851,0.5214522390818982,0.508159245723062,0.4948662523642259
wine_benchmark_0920.csv,0.4948662523642259,0.49487317862924984,0.508159245723062,0.4948662523642259,0.4948717948717949,0.4949006977992485,0.4948717948717949,0.49486763911399245,0.4948662523642259,0.4948662523642259
wine_benchmark_0921.csv,0.5480382257995705,0.5542351353496865,0.508159245723062,0.5214522390818982,0.5599314472631102,0.5334964284239646,0.5509646832898251,0.5347452324407342,0.5480382257995705,0.5480382257995705
wine_benchmark_0922.csv,0.508159245723062,0.5407324731393808,0.5214522390818982,0.5214522390818982,0.5116787993169768,0.5334964284239646,0.5092911138537488,0.5358133660402705,0.5085162147560851,0.508159245723062
wine_benchmark_0923.csv,0.5221647903981776,0.5229168542022985,0.4948662523642259,0.4948662523642259,0.5254460416360038,0.5576651893634166,0.5221647903981776,0.508159245723062,0.5214522390818982,0.5214522390818982
wine_benchmark_0924.csv,0.508159245723062,0.5092911138537488,0.508159245723062,0.5347452324407342,0.5254460416360038,0.5367028888292639,0.5254460416360038,0.4948662523642259,0.508159245723062,0.5085162147560851
wine_benchmark_0925.csv,0.5214522390818982,0.5229168542022985,0.4948662523642259,0.508159245723062,0.5254460416360038,0.5665963566634707,0.5245534651107406,0.5207761607761607,0.5214522390818982,0.5214522390818982
wine_benchmark_0926.csv,0.4948662523642259,0.4948704103671706,0.5214522390818982,0.508159245723062,0.49487456164014026,0.4949006977992485,0.49486763911399245,0.508159245723062,0.4948662523642259,0.5214522390818982
wine_benchmark_0927.csv,0.4948662523642259,0.5263943215538172,0.508159245723062,0.4948690251147718,0.5254460416360038,0.5404920991026141,0.508892939658535,0.4948662523642259,0.49486763911399245,0.4948662523642259
wine_benchmark_0928.csv,0.5214522390818982,0.5254460416360038,0.508159245723062,0.508159245723062,0.5263943215538172,0.5576651893634166,0.5245534651107406,0.508159245723062,0.5214522390818982,0.508159245723062
wine_benchmark_0929.csv,0.5085162147560851,0.5097126299912677,0.5085162147560851,0.508159245723062,0.5142482752905592,0.4949006977992485,0.5221647903981776,0.508159245723062,0.5085162147560851,0.508159245723062
wine_benchmark_0930.csv,0.5214522390818982,0.5369407687460618,0.508159245723062,0.508159245723062,0.5263943215538172,0.55398741979328,0.5237118173403271,0.508159245723062,0.5221647903981776,0.5214522390818982
wine_benchmark_0931.csv,0.5221647903981776,0.5381325208269052,0.4948662523642259,0.5347452324407342,0.5274036955840902,0.5404920991026141,0.5369407687460618,0.5347452324407342,0.5214522390818982,0.5214522390818982
wine_benchmark_0932.csv,0.5347452324407342,0.5560189046427578,0.5480382257995705,0.5480382257995705,0.5452817471016447,0.5665963566634707,0.5381325208269052,0.5207761607761607,0.5347452324407342,0.5480382257995705
wine_benchmark_0933.csv,0.508159245723062,0.5245534651107406,0.4948662523642259,0.4948662523642259,0.5296310065991262,0.5618331543143573,0.5229168542022985,0.4948662523642259,0.5221647903981776,0.508159245723062
wine_benchmark_0934.csv,0.5214522390818982,0.5542351353496865,0.508159245723062,0.5214522390818982,0.5296310065991262,0.5307478427612655,0.5393943002302135,0.5214522390818982,0.5214522390818982,0.5214522390818982
